OrderId,OrderStatus,OrderType,IsBusinessOrder,IsReplacementOrder,PurchaseDate,Year,YearMonth,YearQuarter,YearWeek,weekday,LastUpdateDate,LatestShipDate,NumberOfItemsShipped,NumberOfItemsUnshipped,ShipDate,Amount,PostalCode,CountryCode,City,Province,Region
481,Shipped,StandardOrder,0,0,2022-10-12 08:49:16,2022,202210,2022Q4,2022W41,3,2022-10-13 01:35:46,2022-10-13 23:59:59,1,0,2022-10-13 23:59:59,19.99,28854,IT,MALESCO,VB,PIEMONTE
046,Shipped,StandardOrder,0,0,2022-08-12 11:35:24,2022,202208,2022Q3,2022W32,5,2022-08-12 21:56:48,2022-08-12 23:59:59,2,0,2022-08-12 23:59:59,37.98,65013,IT,CITTÀ SANT'ANGELO,PE,ABRUZZI
109,Shipped,StandardOrder,0,0,2022-08-25 22:18:45,2022,202208,2022Q3,2022W34,4,2022-08-27 00:42:33,2022-08-26 23:59:59,1,0,2022-08-26 23:59:59,34.99,39100,IT,BOZEN,BZ,TRENTINO-ALTO ADIGE
333,Shipped,StandardOrder,0,0,2022-10-04 16:29:12,2022,202210,2022Q4,2022W40,2,2022-10-04 22:00:12,2022-10-04 23:59:59,1,0,2022-10-04 23:59:59,18.99,61037,IT,MONDOLFO,PU,MARCHE
469,Shipped,StandardOrder,0,0,2022-10-11 17:39:16,2022,202210,2022Q4,2022W41,2,2022-10-12 17:05:53,2022-10-11 23:59:59,2,0,2022-10-11 23:59:59,39.98,04100,IT,LATINA,LT,LAZIO
132,Shipped,StandardOrder,0,0,2022-09-02 09:20:03,2022,202209,2022Q3,2022W35,5,2022-09-02 18:04:16,2022-09-08 23:59:59,1,0,2022-09-08 23:59:59,20.99,00166,IT,ROMA,RM,LAZIO
211,Shipped,StandardOrder,0,0,2022-09-20 20:40:28,2022,202209,2022Q3,2022W38,2,2022-09-21 02:34:11,2022-09-21 23:59:59,1,0,2022-09-21 23:59:59,34.99,42123,IT,REGGIO EMILIA,RE,EMILIA-ROMAGNA
395,Shipped,StandardOrder,0,0,2022-10-08 18:31:12,2022,202210,2022Q4,2022W40,6,2022-10-08 22:04:49,2022-10-09 23:59:59,2,0,2022-10-09 23:59:59,37.98,42031,IT,BAISO,RE,EMILIA-ROMAGNA
117,Shipped,StandardOrder,0,0,2022-08-27 20:57:48,2022,202208,2022Q3,2022W34,6,2022-08-28 10:18:20,2022-08-28 23:59:59,1,0,2022-08-28 23:59:59,18.99,31050,IT,POVEGLIANO,TV,VENETO
335,Shipped,StandardOrder,0,0,2022-10-04 09:20:23,2022,202210,2022Q4,2022W40,2,2022-10-05 00:03:52,2022-10-04 23:59:59,1,0,2022-10-04 23:59:59,19.99,59100,IT,PRATO,PO,TOSCANA
